no,company,person,owners,websites,baseline_status,best_phone,best_email,confidence,source_url,reason
85,Schneckenreither Internationale Spedition GmbH,Gerhard Gschwendtner,SAW-Holding GmbH; Gerhard Roithner,,UNRESOLVED,,,,,
86,Spedition Böntner GmbH,Karl Böntner,BÖNTNER Holding GmbH,,UNRESOLVED,,,,,
87,Spedition Engel Mayr GmbH,Valentin Peklar,VITAIRA AcquiCo 01 Austria GmbH,,UNRESOLVED,,,,,
87,Spedition Engel Mayr GmbH,Peter Schneider,VITAIRA AcquiCo 01 Austria GmbH,,UNRESOLVED,,,,,
88,Spedition Sobolak Internationale Transporte Ges.m.b.H.,Peter Sobolak,Peter Sobolak,,UNRESOLVED,,,,,
88,Spedition Sobolak Internationale Transporte Ges.m.b.H.,Jutta Sobolak,Peter Sobolak,,UNRESOLVED,,,,,
89,Spedition Lang GesmbH,Karin Lang,Karin Lang,,UNRESOLVED,,,,,
90,Spedition MURNIG Kommanditgesellschaft,Brigitte Elke Murnig,Brigitte Elke Murnig (Komplementärin); Dr. Florian Walther (Kommanditist),,UNRESOLVED,,,,,
91,STARK Internationale Transporte Gesellschaft m.b.H.,Christian Höllwarth,Intertrans Beteiligung GmbH,,UNRESOLVED,,,,,
92,SUXESS LOGISTIC GmbH,Zsuzsanna Schenk,Zsuzsanna Schenk; HMG Holding GmbH,,UNRESOLVED,,,,,
