no,company,person,owners,websites,baseline_status,best_phone,best_email,confidence,source_url,reason
108,Schachinger Logistik GmbH,Maximilian Schachinger,1-0-1 GmbH; Schachinger Familienprivatstiftung; Maximilian Schachinger,,E_CENTRAL_FALLBACK,+43 7221 707-0,,low,https://www.schachinger.com/impressum/,official_candidate_needs_external_validation
108,Schachinger Logistik GmbH,Ehrenfried Werderits,1-0-1 GmbH; Schachinger Familienprivatstiftung; Maximilian Schachinger,,UNRESOLVED,,,,,
108,Schachinger Logistik GmbH,Günther Gfrerrer,1-0-1 GmbH; Schachinger Familienprivatstiftung; Maximilian Schachinger,,UNRESOLVED,,,,,
108,Schachinger Logistik GmbH,Andreas Pesenhofer,1-0-1 GmbH; Schachinger Familienprivatstiftung; Maximilian Schachinger,,UNRESOLVED,,,,,
109,G. Englmayer Transport GmbH,Andreas Gaber,WIESINGER Privatstiftung,,UNRESOLVED,,,,,
110,Gebrüder Weiss Paketdienst Gesellschaft m.b.H.,Andreas Winkelmayer,Gebrüder Weiss Gesellschaft m.b.H.; GW BeteiligungsGmbH,,UNRESOLVED,,,,,
110,Gebrüder Weiss Paketdienst Gesellschaft m.b.H.,Daniel Neumann,Gebrüder Weiss Gesellschaft m.b.H.; GW BeteiligungsGmbH,,UNRESOLVED,,,,,
110,Gebrüder Weiss Paketdienst Gesellschaft m.b.H.,Peter Schafleitner,Gebrüder Weiss Gesellschaft m.b.H.; GW BeteiligungsGmbH,,E_CENTRAL_FALLBACK,+43.5574.696.0,,low,https://www.gw-world.com/imprint,official_candidate_needs_external_validation
111,Gebrüder Weiss Transport Logistik GmbH,Alexander Wolf,Gebrüder Weiss Gesellschaft m.b.H.,,UNRESOLVED,,,,,
111,Gebrüder Weiss Transport Logistik GmbH,Alexander Eberharter,Gebrüder Weiss Gesellschaft m.b.H.,,UNRESOLVED,,,,,
