no,company,person,owners,websites,baseline_status,best_phone,best_email,confidence,source_url,reason
80,MALCAMPO Transporte GmbH,Ulla Cancola,Cancola Management Consulting GmbH; Martin Cancola direct,,UNRESOLVED,,,,,
81,Platzer & Co. Internationale Transporte Gesellschaft m.b.H.,Markus Rolf Platzer,Markus Rolf Platzer; Markus Platzer,,UNRESOLVED,,,,,
81,Platzer & Co. Internationale Transporte Gesellschaft m.b.H.,Markus Platzer,Markus Rolf Platzer; Markus Platzer,,UNRESOLVED,,,,,
82,R & W Internationale Speditionsgesellschaft m.b.H.,Anton Wallinger,Anton Wallinger; Gerald Roider; Roland Schmolz,,UNRESOLVED,,,,,
82,R & W Internationale Speditionsgesellschaft m.b.H.,Gerald Roider,Anton Wallinger; Gerald Roider; Roland Schmolz,,UNRESOLVED,,,,,
82,R & W Internationale Speditionsgesellschaft m.b.H.,Roland Schmolz,Anton Wallinger; Gerald Roider; Roland Schmolz,,UNRESOLVED,,,,,
83,R & W SPEDITION-LOGISTIC GMBH,Anton Wallinger,Anton Wallinger; Gerald Roider; Roland Schmolz,,UNRESOLVED,,,,,
83,R & W SPEDITION-LOGISTIC GMBH,Gerald Roider,Anton Wallinger; Gerald Roider; Roland Schmolz,,UNRESOLVED,,,,,
83,R & W SPEDITION-LOGISTIC GMBH,Roland Schmolz,Anton Wallinger; Gerald Roider; Roland Schmolz,,UNRESOLVED,,,,,
85,Schneckenreither Internationale Spedition GmbH,Sonja Schneckenreither,SAW-Holding GmbH; Gerhard Roithner,,UNRESOLVED,,,,,
